Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Poles,Current_Rating_A,Breaking_Capacity_kA,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-ax-1-way-switch-acwsxxw101.html,,Standard,SKUACWSXXW101,84,55,N/A,N/A,Key Features Designed with soft switching mechanism which will ensure complete isolation during operation Designed for inductive and resistive loads Easy and fast installation 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsxxw101_main_2.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-ax-2-way-switch-acwsxxw102.html,,Standard,SKUACWSXXW102,195.00,130.00,N/A,N/A,Key Features Designed with soft switching mechanism which will ensure complete isolation during operation Designed for inductive and resistive loads Easy and fast installation 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsxxw102_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-a-bell-push-switch-acwsbxw101.html,,Standard,SKUACWSBXW101,226.00,155.00,N/A,N/A,Key Features Designed with soft switching mechanism which will ensure complete isolation during operation Switches for long life Easy and fast installation 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsbxw101_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/1-m-front-plate-acwplcwv01.html,,Standard,SKUACWPLCWV01,155.00,100.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwplcwv01_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/2-m-front-plate-acwplcwv02.html,,Standard,SKUACWPLCWV02,156.00,100.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwplcwv02_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-ax-one-way-switch-athena-acasxxw101.html,,Standard,SKUACASXXW101,113.00,75,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color Fully conforms to IS-3854 -1997 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACASXXW101.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/dnd-switch-acwsxdw002.html,,Standard,SKUACWSXDW002,413.00,291.00,N/A,N/A,Key Features Two way switch ensure proper application use Laser marking on the switches Matches to any interiors 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWSXDW002.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/mmr-switch-acwipiw061.html,,Standard,SKUACWIPIW061,349.00,248.00,N/A,N/A,Key Features One way switch for MMR Laser marking on the switches Matches to any interiors 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWIPIW061.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/dnd-and-mmr-outdoor-panel-acwsiiw061.html,,Standard,SKUACWSIIW061,953.00,640.00,N/A,N/A,Key Features Both the indicators in one module size for long life and consistent glow Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsiiw061_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/hdmi-socket-acwkxxw061.html,,Standard,SKUACWKXXW061,2216.00,1571.00,N/A,N/A,Key Features Pre wired data socket for easy use 1 M Size female socket supplied with connectors Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWKXXW061.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6-a-3-pin-shuttered-socket-acwkpxw063.html,,Standard,SKUACWKPXW063,205.00,140.00,N/A,N/A,Key Features Ensures complete safety while operating Easy entry of the plugs into the sockets Matches to any interiors 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwkpxw063_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6-a-16-a-3-pin-shuttered-socket-acwkcxw163.html,,Standard,SKUACWKCXW163,325.00,220.00,N/A,N/A,Key Features Ensures complete safety while operating Easy entry of the plugs into the sockets Matches to any interiors 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWKCXW163.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-a-25-a-shuttered-socket-acwkcxw253.html,,Standard,SKUACWKCXW253,386.00,260.00,N/A,N/A,Key Features Ensures complete safety while operating Easy entry of the plugs into the sockets Matches to any interiors 10 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWKCXW253.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/step-fan-regulator-1m-acwrfxw004.html,,Standard,SKUACWRFXW004,621.00,420.00,N/A,N/A,Key Features Unique design knob with better foam factor for use of customer optimises space with 1M size Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwrfxw004_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/tv-socket-acwktxw001.html,,Standard,SKUACWKTXW001,199.00,135.00,N/A,N/A,Key Features Product is fitted in Robust designed assembly plates smug fit on the wall Dust Free Glossy Finish Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwktxw001_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/2-module-led-footlight-acwpfcwv02.html,,Standard,SKUACWPFCWV02,918.00,620.00,N/A,N/A,Key Features Long life white colour LED based illumination Power consumption is less than 2 W Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwpfcwv02_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/3-m-front-plate-with-pillar-acwplcwv03.html,,Standard,SKUACWPLCWV03,181.00,115.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLCWV03.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/3-m-front-plate-without-pillar-acwplpwv03.html,,Standard,SKUACWPLPWV03,181.00,115.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwplpwv03.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/4-m-front-plate-with-pillar-acwplcwv04.html,,Standard,SKUACWPLCWV04,224.00,145.00,N/A,N/A,Key Features Elegant desing plates with Pillar Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLCWV04.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/8-m-front-plate-v-acwplcwv08.html,,Standard,SKUACWPLCWV08,410.00,265.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLCWV08.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/8-m-h-front-plate-with-pillar-acwplcwh08.html,,Standard,SKUACWPLCWH08,410.00,265.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLCWH08.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/9-m-horizontal-plate-front-plate-without-pillar-acwplpwv09.html,,Standard,SKUACWPLPWV09,470.00,300.00,N/A,N/A,Key Features Elegant desing plates with out pillar Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLPWV09.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/12-m-front-plate-acwplcwv12.html,,Standard,SKUACWPLCWV12,474.00,305.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwplcwv12_main_1_.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/16-m-front-plate-acwplcwv16.html,,Standard,SKUACWPLCWV16,573.00,365.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWPLCWV16.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/18-m-front-plate-acwplcwv18.html,,Standard,SKUACWPLCWV18,600.00,385.00,N/A,N/A,Key Features Embossed Design plate with soft corners Easy and quick to install Matches to any interiors 10 Year (against manufacturing defect) Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwplcwv18_main.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/18-m-combined-pc-plate-athena-classic-acapncwv18.html,,Standard,SKUACAPNCWV18,720.00,480.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV18.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/12-m-combined-pc-plate-athena-classic-acapncwv12.html,,Standard,SKUACAPNCWV12,524.00,350.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color Pure White Color Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV12.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/8ms-cmb-pc-plate-athena-classic-acapncwv08.html,,Standard,SKUACAPNCWV08,416.00,275.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acapncwv08_1.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/8mh-cmb-pc-plate-athena-classic-acapncwh08.html,,Standard,SKUACAPNCWH08,416.00,275.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acapncwh08.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6m-combined-pc-plate-athena-classic-acapncwv06.html,,Standard,SKUACAPNCWV06,331.00,220.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV06.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/4m-combined-pc-plate-athena-classic-acapncwv04.html,,Standard,SKUACAPNCWV04,245.00,165.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV04.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/3m-combined-pc-plate-athena-classic-acapncwv03.html,,Standard,SKUACAPNCWV03,200.00,135.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV03.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/2-m-cover-plate-acapncwv02.html,,Standard,SKUACAPNCWV02,175.00,115.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV02.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/1-m-cover-plate-acapncwv01.html,,Standard,SKUACAPNCWV01,168.00,110.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color Conforms to IEC/EN 60603-7 Transmission Performance E/A/T/A 568-B.2-1 Cat 6 Note: MRP includes the cost of cover frame only. Switches/Sockets/Other support modules cost extra. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAPNCWV01.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/mmr-switchath-acascxw101.html,,Standard,SKUACASCXW101,371.00,250.00,N/A,N/A,Key Features Dust Free Glossy Finish Pure White Color Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACASCXW101.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/dnd-switchath-acasnxw102.html,,Standard,SKUACASNXW102,430.00,285.00,N/A,N/A,Key Features Dust Free Glossy Finish Pure White Color Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACASNXW102.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/20a-motor-starterath-acasmxw201.html,,Standard,SKUACASMXW201,799.00,535.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color Conforms to IS/IEC /3947 - 4-1 Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACASMXW201.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6-a-sp-mini-mcb-c-series-dcancspa006.html,,Standard,SKUDCANCSPA006,419.00,280.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color Standard Conforms to IEC/ IS Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/DCANCSPA006.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/10-a-25-a-shuttered-socket-acakcxw253.html,,Standard,SKUACAKCXW253,533.00,355.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAKCXW253.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6-a-16-a-3-pin-combined-shuttered-socket-acakcxw163.html,,Standard,SKUACAKCXW163,396.00,265.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAKCXW163.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/6-a-3-pin-shuttered-socket-acakpxw063.html,,Standard,SKUACAKPXW063,261.00,175.00,N/A,N/A,Key Features Product is fitted in robust designed assembly plates that fit snugly on the wall Dust Free Glossy Finish Pure White Color UV Stabilized polycarbonate material used which ensures no discoloration during lifetime Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACAKPXW063.jpg,N/A,N/A,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/16-a-sp-mini-mcb-c-series-dcwncspa016.html,,Standard,SKUDCWNCSPA016,380.00,284.00,N/A,N/A,"Key Features Rated for 16 A C curve rated with Silver graphite contacts, Trip free mechanism,  Overload and short circuit protection Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/DCWNCSPA016.jpg,N/A,16,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
Havells,Switchgear_Modular,viruzsafe,https://havells.com/switches/modular-range/viruzsafe/25-a-motor-starter-acwsmxw251.html,,Standard,SKUACWSMXW251,709.00,475.00,N/A,N/A,Key Features Rated for 25 A Overload and short circuit protection Matches to any interiors 2 Year (against manufacturing defect) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/import/Crabtree-Switches/ACWSMXW251.jpg,N/A,25,N/A,N/A,N/A,"ISI, ul, Ce, CE, ce, isi",onsWashing,India,N/A
